Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.770354,-3.080000,180.000000,top
"C2","C_22uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",7.013563,-3.080000,180.000000,top
"C4","C26pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",6.805000,-3.370551,90.000000,top
"C5","C26pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",6.805000,-3.714449,270.000000,top
"C6","C10uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.895551,-3.030000,0.000000,top
"C7","C.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",6.320000,-3.545551,90.000000,top
"C8","C.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.715551,-3.030000,180.000000,top
"C9","C_.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.530000,-3.205000,90.000000,top
"C10","C_.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.430000,-3.880000,90.000000,top
"C11","C.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.605000,-4.005000,0.000000,top
"C12","C.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",6.055000,-4.005000,180.000000,top
"C13","C.1uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",6.255000,-4.005000,180.000000,top
"C14","C15pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.280000,-3.180000,0.000000,top
"C15","C15pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.245551,-3.730000,180.000000,top
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",6.280000,-1.805000,180.000000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",4.280000,-4.330000,180.000000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",4.005000,-3.105000,0.000000,top
"J12","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",7.820000,-4.091811,90.000000,top
"R1","R_56","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.020354,-1.805000,180.000000,top
"R2","R10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.208051,-2.878133,270.000000,top
"R3","R2.8k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.208051,-2.628133,90.000000,top
"R4","R10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.739646,-2.530000,0.000000,top
"R5","R470","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",5.745551,-2.755000,0.000000,top
"R6","R10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.264646,-4.705000,0.000000,top
"R7","R470","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",4.255000,-4.505000,180.000000,top
"R8","R_56","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.980000,-4.330000,0.000000,top
"R9","R_56","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.355000,-3.105000,0.000000,top
"R12","R2.4k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.255000,-4.430000,0.000000,top
"R13","R2.4k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.505000,-4.430000,0.000000,top
"R14","R10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.814646,-4.005000,0.000000,top
"S1","SMD-5.2MM","TACTILE_SWITCH_SMD_5.2MM",6.105000,-2.580000,0.000000,top
"S2","SMD-5.2MM","TACTILE_SWITCH_SMD_5.2MM",4.605000,-4.405000,0.000000,top
"U1","LT1085-3.3","TO-263-3_TabPin2",6.755000,-2.637874,90.000000,top
"U4","PIC32MX795F512L-X_PT","TQFP-100_12x12mm_P0.4mm",5.930000,-3.480000,0.000000,top
"Y1","Crystal_8MHz","HC49UP",6.530000,-3.530000,270.000000,top
"Y2","Crystal_GND23","Crystal_SMD_7050-4Pin_7.0x5.0mm",5.280000,-3.430000,0.000000,top
