"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"TQFP-100_12x12mm_P0.4mm";1;"PIC32MX795F512L-X_PT";;;
2;"H15,H16,H11,H17,H18,H12,H13,H14";"MountingHole_3.2mm_M3";8;"MountingHole";;;
3;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"C_10uF";;;
4;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"C_22uF";;;
5;"C4,C5";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"C26pF";;;
6;"C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"C10uF";;;
7;"C7,C8,C11,C12,C13";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"C.1uF";;;
8;"C9,C10";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"C_.1uF";;;
9;"C14,C15";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"C15pF";;;
10;"D1,D2,D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED";;;
11;"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10";"MountingHole_2.5mm_Pad";10;"MountingHole_Pad";;;
12;"J1,J2,J3,J4";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03_Male";;;
13;"J5";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
14;"J6,J9";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
15;"J7,J11";"PinHeader_1x05_P2.54mm_Vertical";2;"Conn_01x05";;;
16;"J8";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
17;"J10";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
18;"J12";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
19;"JP1";"RJ11-6";1;"RJ11-6";;;
20;"JP2";"XBEE";1;"XBEE-LEAVE EMPTY";;;
21;"R1,R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"R_56";;;
22;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R10K";;;
23;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R2.8k";;;
24;"R4,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R10k";;;
25;"R5,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"R470";;;
26;"R12,R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R2.4k";;;
27;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R10";;;
28;"S1,S2";"TACTILE_SWITCH_SMD_5.2MM";2;"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";;;
29;"U1";"TO-263-3_TabPin2";1;"LT1085-3.3";;;
30;"U3";"PinSocket_1x08_P2.54mm_Vertical";1;"accel_gyro_conn";;;
31;"Y1";"HC49UP";1;"Crystal_8MHz";;;
32;"Y2";"Crystal_SMD_7050-4Pin_7.0x5.0mm";1;"Crystal_GND23";;;
